Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/08/2021 12:00:00 AM,50 - 64 Years,29.79954932,0.886,0.778
12/08/2021 12:00:00 AM,65 - 74 Years,19.64991327,0.95,0.896
12/08/2021 12:00:00 AM,75+ Years,22.05477043,0.95,0.842
12/07/2021 12:00:00 AM,5 - 11 Years,37.04299428,0.188,0.081
12/07/2021 12:00:00 AM,12 - 17 Years,33.83784163,0.62,0.525
12/07/2021 12:00:00 AM,18 - 24 Years,35.9317373,0.696,0.58
12/07/2021 12:00:00 AM,25 - 39 Years,40.67653339,0.734,0.623
12/07/2021 12:00:00 AM,40 - 49 Years,36.42453094,0.813,0.707
12/07/2021 12:00:00 AM,50 - 64 Years,30.43794406,0.885,0.778
12/07/2021 12:00:00 AM,65 - 74 Years,20.14573119,0.95,0.895
12/07/2021 12:00:00 AM,75+ Years,22.72991646,0.95,0.841
12/06/2021 12:00:00 AM,5 - 11 Years,37.5853735,0.185,0.075
12/06/2021 12:00:00 AM,12 - 17 Years,34.07654246,0.619,0.524
12/06/2021 12:00:00 AM,18 - 24 Years,36.28061666,0.695,0.58
12/06/2021 12:00:00 AM,25 - 39 Years,41.12783113,0.733,0.623
12/06/2021 12:00:00 AM,40 - 49 Years,36.97548904,0.812,0.706
12/06/2021 12:00:00 AM,50 - 64 Years,30.95578845,0.884,0.777
12/06/2021 12:00:00 AM,65 - 74 Years,20.37434185,0.95,0.895
12/06/2021 12:00:00 AM,75+ Years,23.22418225,0.95,0.841
12/05/2021 12:00:00 AM,5 - 11 Years,36.98122331,0.182,0.069
12/05/2021 12:00:00 AM,12 - 17 Years,32.60322153,0.618,0.523
12/05/2021 12:00:00 AM,18 - 24 Years,34.19868619,0.694,0.579
12/05/2021 12:00:00 AM,25 - 39 Years,39.31250814,0.732,0.622
12/05/2021 12:00:00 AM,40 - 49 Years,35.3980836,0.811,0.706
12/05/2021 12:00:00 AM,50 - 64 Years,29.23471072,0.882,0.777
12/05/2021 12:00:00 AM,65 - 74 Years,19.2923645,0.95,0.894
12/05/2021 12:00:00 AM,75+ Years,21.63972738,0.95,0.841
12/04/2021 12:00:00 AM,5 - 11 Years,37.04249208,0.181,0.065
12/04/2021 12:00:00 AM,12 - 17 Years,32.45074995,0.618,0.523
12/04/2021 12:00:00 AM,18 - 24 Years,34.12115744,0.693,0.579
12/04/2021 12:00:00 AM,25 - 39 Years,39.34142665,0.731,0.622
12/04/2021 12:00:00 AM,40 - 49 Years,35.48205599,0.81,0.705
12/04/2021 12:00:00 AM,50 - 64 Years,29.28760758,0.882,0.777
12/04/2021 12:00:00 AM,65 - 74 Years,19.29575761,0.95,0.894
12/04/2021 12:00:00 AM,75+ Years,21.66777083,0.95,0.841
12/03/2021 12:00:00 AM,5 - 11 Years,36.86521442,0.177,0.053
12/03/2021 12:00:00 AM,12 - 17 Years,32.09555398,0.617,0.522
