week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2021-11-29,Virginia,1644,0,0,0,0.9799270072992701,0.019464720194647202,6.082725060827278e-4
2021-12-13,Virginia,2030,0,0,0,0.5266009852216749,0.4729064039408867,4.926108374384564e-4
2021-12-27,Virginia,1700,0,0,0,0.05529411764705883,0.9441176470588235,5.882352941176672e-4
2022-01-10,Virginia,1232,0,0,0,0.013798701298701298,0.9853896103896104,8.116883116883189e-4
2022-01-24,Virginia,1245,0,0,0,0.005622489959839358,0.9943775100401606,0
2022-02-07,Virginia,1224,0,0,0,8.169934640522876e-4,0.9983660130718954,8.169934640522847e-4
2022-02-21,Virginia,691,0,0,0,0,0.9971056439942113,0.0028943560057886897
2022-03-07,Virginia,194,0,0,0,0,1,0
2020-04-27,Nevada,20,0,0,0,0,0,1
2020-05-11,Nevada,32,0,0,0,0,0,1
2020-05-25,Nevada,15,0,0,0,0,0,1
2020-07-20,Nevada,1,0,0,0,0,0,1
2020-08-03,Nevada,13,0,0,0,0,0,1
2020-08-17,Nevada,65,0,0,0,0,0,1
2020-08-31,Nevada,17,0,0,0,0,0,1
2020-09-14,Nevada,55,0,0,0,0,0,1
2020-09-28,Nevada,32,0,0,0,0,0,1
2020-10-12,Nevada,112,0,0,0,0,0,1
2020-10-26,Nevada,84,0,0,0,0,0,1
2020-11-09,Nevada,97,0,0,0,0,0,1
2020-11-23,Nevada,70,0,0,0,0,0,1
2020-12-07,Nevada,69,0,0,0,0,0,1
2020-12-21,Nevada,331,0,0,0,0,0,1
2021-01-11,Nevada,395,0,0,0,0,0,1
2021-01-25,Nevada,558,0.008960573476702509,0.0017921146953405018,0,0,0,0.989247311827957
2021-02-08,Nevada,377,0.03713527851458886,0.002652519893899204,0,0,0,0.9602122015915119
2021-02-22,Nevada,349,0.045845272206303724,0,0,0,0,0.9541547277936963
2021-03-08,Nevada,216,0.18518518518518517,0,0.009259259259259259,0,0,0.8055555555555556
2021-03-22,Nevada,221,0.2986425339366516,0.00904977375565611,0.00904977375565611,0,0,0.6832579185520362
2021-04-05,Nevada,327,0.47706422018348627,0.0061162079510703364,0.039755351681957186,0.0030581039755351682,0,0.47400611620795097
2021-04-19,Nevada,274,0.5145985401459854,0.021897810218978103,0.0364963503649635,0.01824817518248175,0,0.4087591240875913
2021-05-03,Nevada,142,0.647887323943662,0.014084507042253521,0.04225352112676056,0.02112676056338028,0,0.2746478873239437
2021-05-17,Nevada,178,0.6797752808988764,0.011235955056179775,0.08426966292134831,0.056179775280898875,0,0.1685393258426966
2021-05-31,Nevada,355,0.36901408450704226,0,0.061971830985915494,0.35774647887323946,0,0.21126760563380284
2021-06-14,Nevada,1286,0.17107309486780714,0,0.052099533437014,0.7052877138413686,0,0.07153965785381024
2021-06-28,Nevada,2020,0.05643564356435644,0,0.022277227722772276,0.8841584158415842,0,0.03712871287128707
2021-07-12,Nevada,2180,0.01834862385321101,0,0.005504587155963303,0.9573394495412844,0,0.018807339449541327
2021-07-26,Nevada,1569,0.004461440407903123,0,6.373486297004461e-4,0.982791586998088,0,0.012109623964308475
