date,age_group.x,cases,age_class,age_group.y,clinical_fraction,cases_adj,pop,age_pct,incid_per100K,mean_incid_per100K,incid_OR
2020-07-31,0 - 9 Years,1854,00,a00-09,0.29,6393.103448275862,39888000,0.11992820182862847,16.027636001493835,37.084377928020935,0.432193740248326
2020-07-31,10 - 19 Years,4562,10,a10-19,0.21,21723.809523809523,43455000,0.1306528281804816,49.99150736120015,37.084377928020935,1.3480476188175883
2020-07-31,20 - 29 Years,8548,20,a20-29,0.27,31659.259259259255,44501000,0.13379775645747582,71.14280411509687,37.084377928020935,1.9184035998441653
2020-07-31,30 - 39 Years,7292,30,a30-39,0.33,22096.969696969696,45194000,0.13588134660657428,48.893591399233735,37.084377928020935,1.3184417302114098
2020-07-31,40 - 49 Years,6549,40,a40-49,0.4,16372.5,41153000,0.1237315806722209,39.78446285811484,37.084377928020935,1.0728092280618715
2020-07-31,50 - 59 Years,6162,50,a50-59,0.49,12575.510204081633,43033000,0.12938403302475354,29.22294565584931,37.084377928020935,0.7880122921994187
2020-07-31,60 - 69 Years,4227,60,a60-69,0.63,6709.523809523809,39034000,0.1173605452812546,17.188921989864756,37.084377928020935,0.4635084353640139
2020-07-31,70 - 79 Years,2326,70,a70-79,0.69,3371.0144927536235,24136000,0.07256786701102529,13.96674880988409,37.084377928020935,0.37662081960746124
2020-07-31,80+ Years,1684,80,a80+,0.69,2440.5797101449275,12205000,0.0366958409375855,19.996556412494286,37.084377928020935,0.5392177927672585
2020-08-01,0 - 9 Years,1397,00,a00-09,0.29,4817.241379310345,39888000,0.11992820182862847,12.076918820974592,28.92177826345488,0.41757179351018
2020-08-01,10 - 19 Years,3697,10,a10-19,0.21,17604.761904761905,43455000,0.1306528281804816,40.512626636202754,28.92177826345488,1.4007654116964825
2020-08-01,20 - 29 Years,6571,20,a20-29,0.27,24337.037037037036,44501000,0.13379775645747582,54.688741909253814,28.92177826345488,1.8909190649026475
2020-08-01,30 - 39 Years,5589,30,a30-39,0.33,16936.363636363636,45194000,0.13588134660657428,37.47480558561675,28.92177826345488,1.295729648580058
2020-08-01,40 - 49 Years,5173,40,a40-49,0.4,12932.5,41153000,0.1237315806722209,31.425412485116517,28.92177826345488,1.0865657083342346
2020-08-01,50 - 59 Years,4853,50,a50-59,0.49,9904.081632653062,43033000,0.12938403302475354,23.01508524307639,28.92177826345488,0.795770060659026
2020-08-01,60 - 69 Years,3323,60,a60-69,0.63,5274.603174603175,39034000,0.1173605452812546,13.512843097307924,28.92177826345488,0.46722034081778946
2020-08-01,70 - 79 Years,1838,70,a70-79,0.69,2663.768115942029,24136000,0.07256786701102529,11.036493685540393,28.92177826345488,0.3815980326315529
